Year,H1A-N,H1C-N,H2A-N,H2B-N,H2C-N,H2D-N,H3A-N,H3B-N,H3B-N-H,H3C-N,H3C-N-H,H3D-N,H3D-N-H,H4A-N,H4A-N-H,H4B-N,H4C-N,H4C-N-H,H4D-N
2024,6.2,2.2,22.6,8.9,5.4,6.3,29.8,29.8,19.8,19.7,15.3,16.8,12.3,29.8,30.3,30.7,27.9,22.7,14.7
2029,7.1,2.6,25.1,11.4,7.1,8.2,31.4,31.6,22.3,21.2,17.4,18.2,13.7,31.6,32.1,32.0,29.4,24.8,17.4
2034,8.9,3.8,27.9,15.1,9.7,11.9,33.8,34.2,25.9,23.5,20.3,22.3,16.1,33.2,34.6,34.2,32.0,27.3,20.7
2039,11.5,4.6,30.8,18.7,13.0,13.7,36.0,36.9,28.0,25.8,22.0,26.0,18.4,35.9,37.0,36.1,34.3,30.0,24.7
2044,12.4,6.0,34.9,21.9,15.1,16.1,38.2,39.5,30.3,28.2,23.9,29.7,21.3,38.3,40.4,38.1,36.9,32.7,29.6
2049,14.2,10.6,37.7,27.3,17.0,19.1,41.1,42.3,32.6,30.7,26.8,34.0,24.1,41.4,42.5,39.8,39.4,33.3,33.4
2054,15.0,15.0,40.2,30.4,19.6,23.2,43.7,44.7,35.0,33.5,30.8,38.2,28.0,45.0,45.2,42.4,41.9,34.3,37.3
2059,15.9,18.7,42.5,32.1,21.6,26.6,46.4,47.4,37.3,36.3,34.6,42.1,32.0,48.7,47.7,45.6,44.6,35.3,40.6
2064,17.0,21.4,45.1,33.8,23.6,29.6,49.3,49.7,39.6,38.7,37.4,45.8,35.3,52.5,49.9,47.5,46.7,36.8,44.1
2069,19.4,24.0,48.1,35.8,26.6,31.5,51.3,51.9,41.6,40.8,39.8,48.7,38.4,54.9,51.6,49.4,48.6,38.5,46.7
2074,23.6,26.4,51.1,37.5,28.7,33.9,53.0,54.1,44.2,43.1,42.5,50.9,41.5,57.2,54.3,51.4,50.9,40.0,49.5
2079,28.5,30.2,53.5,38.9,30.2,36.0,54.5,55.9,46.7,45.6,44.9,52.8,44.4,61.5,57.0,53.5,53.5,41.8,52.3
2084,29.7,33.0,56.5,41.6,32.3,39.0,56.5,58.0,49.0,47.9,47.1,55.0,47.0,63.0,59.6,55.4,55.3,44.0,54.5
2089,31.3,35.3,59.0,43.2,34.2,42.1,58.4,59.9,51.4,49.8,49.6,56.9,49.6,65.7,62.6,57.4,57.6,46.1,56.4
2094,33.1,38.1,61.8,45.7,37.6,44.7,60.1,61.9,53.7,51.7,51.9,58.4,52.0,68.0,65.7,59.2,59.6,48.0,58.8
2099,34.1,41.0,64.1,47.4,39.4,47.1,61.9,63.4,55.6,53.8,54.0,59.9,54.5,70.4,68.7,61.4,62.0,50.5,60.8
2104,35.0,42.6,66.1,49.6,43.0,49.8,64.0,65.4,57.7,55.4,55.9,61.4,57.0,72.4,70.6,63.4,63.7,52.7,62.7
2109,36.8,44.5,68.1,51.2,45.1,52.3,65.7,67.1,59.8,57.3,58.1,62.8,59.2,74.0,73.7,65.6,65.6,54.4,64.2
