"","Year","HW_Volume","SW_Volume","Total_Volume","HW_AAC","SW_AAC","Total_AAC","total_growth","hw_growth","sw_growth","township","matrix"
"1",0,3.4,0.1,3.5,NA,NA,NA,NA,NA,NA,"T10R10","H1A-N"
"2",1,3.78954285714286,0.111457142857143,3.901,0,0,0,0.401,0.389542857142857,0.0114571428571429,"T10R10","H1A-N"
"3",2,4.17908571428571,0.122914285714286,4.302,0,0,0,0.401,0.389542857142857,0.0114571428571429,"T10R10","H1A-N"
"4",3,4.56862857142857,0.134371428571429,4.703,0,0,0,0.401,0.389542857142857,0.0114571428571429,"T10R10","H1A-N"
"5",4,4.95817142857143,0.145828571428571,5.104,0,0,0,0.401,0.389542857142857,0.0114571428571429,"T10R10","H1A-N"
"6",5,5.34771428571428,0.157285714285714,5.505,0,0,0,0.401,0.389542857142857,0.0114571428571429,"T10R10","H1A-N"
"7",6,5.73725714285714,0.168742857142857,5.906,0,0,0,0.401,0.389542857142857,0.0114571428571429,"T10R10","H1A-N"
"8",7,6.1268,0.1802,6.307,0,0,0,0.401,0.389542857142857,0.0114571428571429,"T10R10","H1A-N"
"9",8,6.51634285714285,0.191657142857143,6.708,0,0,0,0.401,0.389542857142857,0.0114571428571429,"T10R10","H1A-N"
"10",9,6.90588571428571,0.203114285714286,7.109,0,0,0,0.401,0.389542857142857,0.0114571428571429,"T10R10","H1A-N"
"11",10,7.29542857142857,0.214571428571429,7.51,0,0,0,0.401,0.389542857142857,0.0114571428571429,"T10R10","H1A-N"
"12",11,7.68497142857142,0.226028571428571,7.911,0,0,0,0.401,0.389542857142857,0.0114571428571429,"T10R10","H1A-N"
"13",12,8.07451428571428,0.237485714285714,8.312,0,0,0,0.401,0.389542857142857,0.0114571428571429,"T10R10","H1A-N"
"14",13,8.46405714285714,0.248942857142857,8.713,0,0,0,0.401,0.389542857142857,0.0114571428571429,"T10R10","H1A-N"
"15",14,8.85359999999999,0.2604,9.114,0,0,0,0.401,0.389542857142857,0.0114571428571429,"T10R10","H1A-N"
"16",15,9.24314285714285,0.271857142857143,9.515,0,0,0,0.401,0.389542857142857,0.0114571428571429,"T10R10","H1A-N"
"17",16,9.63268571428571,0.283314285714286,9.91599999999999,0,0,0,0.401,0.389542857142857,0.0114571428571429,"T10R10","H1A-N"
"18",17,10.0222285714286,0.294771428571429,10.317,0,0,0,0.401,0.389542857142857,0.0114571428571429,"T10R10","H1A-N"
"19",18,10.4117714285714,0.306228571428572,10.718,0,0,0,0.401,0.389542857142857,0.0114571428571429,"T10R10","H1A-N"
"20",19,10.8013142857143,0.317685714285715,11.119,0,0,0,0.401,0.389542857142857,0.0114571428571429,"T10R10","H1A-N"
"21",20,11.1908571428571,0.329142857142857,11.52,0,0,0,0.401,0.389542857142857,0.0114571428571429,"T10R10","H1A-N"
"22",0,11.2,4.5,15.7,NA,NA,NA,NA,NA,NA,"T10R10","H2A-N"
"23",1,11.1263439490446,4.47040605095541,15.59675,0.36828025477707,0.14796974522293,0.51625,0.413,0.294624203821656,0.118375796178344,"T10R10","H2A-N"
"24",2,11.0526878980892,4.44081210191083,15.4935,0.36828025477707,0.14796974522293,0.51625,0.413,0.294624203821656,0.118375796178344,"T10R10","H2A-N"
"25",3,10.9790318471338,4.41121815286624,15.39025,0.36828025477707,0.14796974522293,0.51625,0.413,0.294624203821656,0.118375796178344,"T10R10","H2A-N"
"26",4,10.9053757961783,4.38162420382166,15.287,0.36828025477707,0.14796974522293,0.51625,0.413,0.294624203821656,0.118375796178344,"T10R10","H2A-N"
"27",5,10.8315414012739,4.35195859872611,15.1835,0.369171974522293,0.148328025477707,0.5175,0.414,0.295337579617834,0.118662420382166,"T10R10","H2A-N"
"28",6,10.7577070063694,4.32229299363057,15.08,0.369171974522293,0.148328025477707,0.5175,0.414,0.295337579617834,0.118662420382166,"T10R10","H2A-N"
"29",7,10.683872611465,4.29262738853503,14.9765,0.369171974522293,0.148328025477707,0.5175,0.414,0.295337579617834,0.118662420382166,"T10R10","H2A-N"
"30",8,10.6100382165605,4.26296178343949,14.873,0.369171974522293,0.148328025477707,0.5175,0.414,0.295337579617834,0.118662420382166,"T10R10","H2A-N"
"31",9,10.536203821656,4.23329617834395,14.7695,0.369171974522293,0.148328025477707,0.5175,0.414,0.295337579617834,0.118662420382166,"T10R10","H2A-N"
"32",10,10.4623694267516,4.20363057324841,14.666,0.369171974522293,0.148328025477707,0.5175,0.414,0.295337579617834,0.118662420382166,"T10R10","H2A-N"
"33",11,10.3885350318471,4.17396496815287,14.5625,0.369171974522293,0.148328025477707,0.5175,0.414,0.295337579617834,0.118662420382166,"T10R10","H2A-N"
"34",12,10.3147006369427,4.14429936305732,14.459,0.369171974522293,0.148328025477707,0.5175,0.414,0.295337579617834,0.118662420382166,"T10R10","H2A-N"
"35",13,10.3147006369427,4.14429936305732,14.459,0.295337579617834,0.118662420382166,0.414,0.414,0.295337579617834,0.118662420382166,"T10R10","H2A-N"
"36",14,10.3147006369427,4.14429936305732,14.459,0.295337579617834,0.118662420382166,0.414,0.414,0.295337579617834,0.118662420382166,"T10R10","H2A-N"
"37",15,10.3147006369427,4.14429936305732,14.459,0.295337579617834,0.118662420382166,0.414,0.414,0.295337579617834,0.118662420382166,"T10R10","H2A-N"
"38",16,10.3147006369427,4.14429936305732,14.459,0.295337579617834,0.118662420382166,0.414,0.414,0.295337579617834,0.118662420382166,"T10R10","H2A-N"
