"","township","matrix","product","wood_type","cords","HWratio","SWratio","acres"
"1","T10R10","H1A-N","ASl","HW",0,0,0,79.6
"2","T10R10","H1A-N","ASl","HW",0,0,0,79.6
"3","T10R10","H2A-N","ASl","HW",0,0,0,9.3
"4","T10R10","H2A-N","ASl","HW",0,0,0,9.3
"5","T10R10","H3C-N","ASl","HW",3.2,0.0149953139643861,0,16.8
"6","T10R10","H3C-N","ASl","HW",3.2,0.0149953139643861,0,16.8
"7","T10R10","HS3D-N","ASl","HW",0,0,0,8.9
"8","T10R10","HS3D-N","ASl","HW",0,0,0,8.9
"9","T10R10","SH3C-N","ASl","HW",1.6,0.0116873630387144,0,10.6
"10","T10R10","SH3C-N","ASl","HW",1.6,0.0116873630387144,0,10.6
"11","T10R10","H1A-N","ASp","HW",6.3,0.023009495982469,0,79.6
"12","T10R10","H1A-N","ASp","HW",6.3,0.023009495982469,0,79.6
"13","T10R10","H2A-N","ASp","HW",4.5,0.0431861804222649,0,9.3
"14","T10R10","H2A-N","ASp","HW",4.5,0.0431861804222649,0,9.3
"15","T10R10","H3C-N","ASp","HW",28.6,0.134020618556701,0,16.8
"16","T10R10","H3C-N","ASp","HW",28.6,0.134020618556701,0,16.8
"17","T10R10","HS3D-N","ASp","HW",2.1,0.0726643598615917,0,8.9
"18","T10R10","HS3D-N","ASp","HW",2.1,0.0726643598615917,0,8.9
"19","T10R10","SH3C-N","ASp","HW",4.6,0.0336011687363039,0,10.6
"20","T10R10","SH3C-N","ASp","HW",4.6,0.0336011687363039,0,10.6
"21","T10R10","H1A-N","BFl","SW",8.2,0,1,79.6
"22","T10R10","H1A-N","BFl","SW",8.2,0,1,79.6
"23","T10R10","H2A-N","BFl","SW",12,0,0.285035629453682,9.3
"24","T10R10","H2A-N","BFl","SW",12,0,0.285035629453682,9.3
"25","T10R10","H3C-N","BFl","SW",25.9,0,0.271204188481675,16.8
"26","T10R10","H3C-N","BFl","SW",25.9,0,0.271204188481675,16.8
"27","T10R10","HS3D-N","BFl","SW",38,0,0.428893905191874,8.9
"28","T10R10","HS3D-N","BFl","SW",38,0,0.428893905191874,8.9
"29","T10R10","SH3C-N","BFl","SW",43.3,0,0.313087490961678,10.6
"30","T10R10","SH3C-N","BFl","SW",43.3,0,0.313087490961678,10.6
"31","T10R10","H1A-N","BFp","SW",0,0,0,79.6
"32","T10R10","H1A-N","BFp","SW",0,0,0,79.6
"33","T10R10","H2A-N","BFp","SW",0,0,0,9.3
"34","T10R10","H2A-N","BFp","SW",0,0,0,9.3
"35","T10R10","H3C-N","BFp","SW",1.5,0,0.0157068062827225,16.8
